ResponseID,College,Rank,AppointmentType,YearsAtInstitution,Discipline,Gender,Race,Q8_OverallSatisfaction,Q9_LikelihoodToRecommend,Q10_ConsideredLeaving,Q11_Workload,Q11_Compensation,Q11_ResearchSupport,Q11_TeachingSupport,Q11_DeptClimate,Q11_TenurePromotion,Q11_LimitedAdvancement,Q11_Geographic,Q11_BetterOpportunity,Q11_LackRecognition,Q12_WorkloadManageable,Q13_WorkLifeBalance,Q14_WeeklyHours,Q15_ServiceLoad,Q16_TeachingResources,Q17_Facilities,Q18_ResearchFunding,Q19_ProfDevelopment,Q20_Mentorship,Q21_Collaboration,Q22_Compensation,Q23_TenureClarity,Q24_TenureFairness,Q25_HiringEffectiveness,Q26_PsychologicalSafety,Q27_Belonging,Q28_Inclusivity,Timestamp,Q29_ImprovementSuggestion,Q30_AdditionalComments
R0001,Science,Associate Professor,Tenure-track,11-15 years,Social Sciences,Man,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,3,3,3,1,3,3,2,4,1.5,2.4,5,4,3,2,2025-11-04 03:00:00,Very satisfied overall,
R0002,Law,Research Professor,Tenured,0-2 years,Social Sciences,Man,White,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,70+ hours,1,3,3,4,5,3,4,4,3.0,3.0,2,3,5,5,2025-10-15 23:00:00,Salary not competitive with peer institutions,Very satisfied overall
R0003,Business,Teaching Professor,Tenured,11-15 years,STEM,Man,White,5,4,2,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,2,2,1,4,4,4,4,3,3.0,5.0,2,4,1,1,2025-10-23 07:00:00,More mentorship needed for junior faculty,
R0004,Engineering,Assistant Professor,Tenure-track,More than 20 years,STEM,Man,Hispanic or Latino/a/x,3,3,4,0,1,0,0,1,0,1,0,1,0,3,2,60-69 hours,2,3,1,4,3,1,2,4,4.0,4.0,3,2,3,3,2025-10-22 04:00:00,Department climate needs improvement,Excellent research support and facilities
R0005,Arts & Letters,Assistant Professor,Tenured,0-2 years,Humanities,Man,Asian,2,1,5,0,0,1,0,0,0,1,0,0,1,3,3,40-49 hours,3,4,3,2,3,4,3,4,4.0,3.0,2,3,4,3,2025-10-18 21:00:00,Excellent research support and facilities,Salary not competitive with peer institutions
R0006,Arts & Letters,Associate Professor,Tenured,More than 20 years,Humanities,Man,Prefer not to say,4,4,2,0,0,0,0,0,0,0,0,0,0,5,5,60-69 hours,2,4,4,3,2,4,4,4,3.0,4.0,4,3,3,3,2025-11-01 02:00:00,,Great collegial atmosphere
R0007,Arts & Letters,Professor,Tenured,6-10 years,Professional fields,Man,Asian,2,2,4,0,0,0,1,0,0,0,0,1,0,3,3,50-59 hours,4,2,1,5,3,3,3,3,4.0,4.0,4,5,4,3,2025-11-02 13:00:00,Excellent research support and facilities,
R0008,Law,Assistant Professor,Non-tenure track,16-20 years,Business,Woman,White,4,4,1,0,0,0,0,0,0,0,0,0,0,4,4,60-69 hours,2,3,3,1,4,1,3,3,2.0,2.7,4,2,4,4,2025-10-16 00:00:00,,Promotion criteria should be clearer
R0009,Engineering,Associate Professor,Tenure-track,16-20 years,Humanities,Woman,White,5,5,2,0,0,0,0,0,0,0,0,0,0,3,2,70+ hours,3,2,1,3,3,3,3,4,3.0,3.7,4,3,2,2,2025-10-17 06:00:00,Very satisfied overall,Promotion criteria should be clearer
R0010,Business,Assistant Professor,Tenure-track,6-10 years,Social Sciences,Man,White,4,4,3,0,0,0,0,0,0,0,0,0,0,4,4,70+ hours,3,4,3,2,5,3,4,2,4.0,3.0,3,3,3,3,2025-10-22 16:00:00,Need better work-life balance policies,Too much administrative burden
R0011,Arts & Letters,Professor,Non-tenure track,11-15 years,Humanities,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,4,4,60-69 hours,4,4,5,2,4,5,3,2,3.0,3.0,2,4,3,3,2025-11-03 00:00:00,,Need better work-life balance policies
R0012,Global Affairs,Research Professor,Tenured,16-20 years,Arts & Performance,Man,White,5,5,1,0,0,0,0,0,0,0,0,0,0,5,4,60-69 hours,3,3,3,3,4,3,2,5,3.0,3.0,4,5,3,2,2025-11-01 06:00:00,Need more teaching assistants,Great collegial atmosphere
R0013,Architecture,Research Professor,Non-tenure track,6-10 years,STEM,Man,Asian,4,3,2,0,0,0,0,0,0,0,0,0,0,1,1,70+ hours,5,1,1,2,3,2,3,4,3.5,1.6,3,3,1,1,2025-11-04 22:00:00,,
R0014,Arts & Letters,Assistant Professor,Tenured,3-5 years,Social Sciences,Man,White,4,4,3,0,0,0,0,0,0,0,0,0,0,2,3,40-49 hours,2,3,4,3,4,3,4,4,3.0,2.0,4,3,4,5,2025-11-01 13:00:00,,
R0015,Arts & Letters,Assistant Professor,Tenure-track,11-15 years,Business,Man,Asian,5,5,1,0,0,0,0,0,0,0,0,0,0,5,5,50-59 hours,5,1,1,2,4,4,3,2,3.0,2.0,3,4,1,1,2025-10-22 14:00:00,,Great collegial atmosphere
R0016,Arts & Letters,Associate Professor,Non-tenure track,16-20 years,Social Sciences,Man,White,5,5,2,0,0,0,0,0,0,0,0,0,0,3,3,40-49 hours,3,4,5,4,4,4,5,3,4.0,3.0,3,4,4,4,2025-11-02 08:00:00,Very satisfied overall,
R0017,Science,Instructor/Lecturer,Non-tenure track,11-15 years,Humanities,Non-binary,Multiple/Other,4,5,2,0,0,0,0,0,0,0,0,0,0,1,2,60-69 hours,1,2,2,1,3,3,2,1,3.5,1.4,1,2,1,1,2025-10-15 05:00:00,More mentorship needed for junior faculty,Salary not competitive with peer institutions
R0018,Engineering,Assistant Professor,Non-tenure track,16-20 years,Humanities,Man,White,4,5,2,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,5,5,5,3,4,4,4,3,5.0,4.0,2,5,3,3,2025-10-28 10:00:00,Promotion criteria should be clearer,Great collegial atmosphere
R0019,Science,Professor,Tenured,6-10 years,STEM,Man,White,2,2,3,0,0,0,0,0,0,0,0,0,0,3,4,50-59 hours,3,2,1,2,4,3,3,2,3.5,2.4,2,4,5,5,2025-10-23 04:00:00,,
R0020,Science,Teaching Professor,Tenured,16-20 years,Social Sciences,Woman,White,2,2,4,0,0,1,0,1,0,0,0,0,0,1,2,50-59 hours,2,2,2,1,3,3,3,2,2.5,0.10000000000000003,1,2,3,4,2025-10-21 10:00:00,,
R0021,Engineering,Instructor/Lecturer,Tenured,0-2 years,Social Sciences,Man,White,5,4,1,0,0,0,0,0,0,0,0,0,0,4,3,50-59 hours,5,2,3,4,4,3,4,2,3.0,5.0,4,4,5,5,2025-10-18 02:00:00,,
R0022,Arts & Letters,Teaching Professor,Tenure-track,6-10 years,STEM,Man,Asian,4,3,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,3,3,4,2,3,3,3,5,4.0,4.0,3,3,2,2,2025-10-27 03:00:00,,
R0023,Science,Assistant Professor,Adjunct/Part-time,0-2 years,STEM,Woman,Asian,3,4,2,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,1,2,2,2,2,3,3,2,,,2,1,2,2,2025-10-26 11:00:00,,Need more teaching assistants
R0024,Science,Assistant Professor,Tenure-track,3-5 years,Business,Man,White,4,3,4,1,1,0,0,1,0,0,0,1,0,2,2,50-59 hours,4,4,3,1,3,1,2,3,2.5,3.4,2,3,5,5,2025-11-03 08:00:00,Very satisfied overall,Excellent research support and facilities
R0025,Engineering,Associate Professor,Adjunct/Part-time,3-5 years,STEM,Man,White,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,50-59 hours,4,3,3,4,5,4,3,4,,,1,4,4,4,2025-10-16 23:00:00,Very satisfied overall,
R0026,Architecture,Teaching Professor,Tenured,6-10 years,Social Sciences,Prefer not to say,White,3,4,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,3,2,1,2,4,1,2,2,3.5,4.6,4,1,5,5,2025-10-29 17:00:00,Need more teaching assistants,Need more teaching assistants
R0027,Arts & Letters,Teaching Professor,Tenure-track,11-15 years,STEM,Woman,White,4,4,2,0,0,0,0,0,0,0,0,0,0,4,3,60-69 hours,1,3,3,3,4,1,5,2,3.0,1.7,2,3,2,2,2025-10-18 12:00:00,,
R0028,Engineering,Professor,Tenured,6-10 years,Professional fields,Woman,Hispanic or Latino/a/x,4,4,2,0,0,0,0,0,0,0,0,0,0,3,2,60-69 hours,2,2,2,3,2,2,4,2,4.0,4.7,3,1,3,3,2025-10-17 17:00:00,Too much administrative burden,
R0029,Engineering,Professor,Non-tenure track,6-10 years,STEM,Man,Asian,5,5,1,0,0,0,0,0,0,0,0,0,0,3,4,70+ hours,3,4,4,3,5,4,4,3,4.0,3.0,3,5,4,4,2025-10-24 20:00:00,Promotion criteria should be clearer,Need better work-life balance policies
R0030,Arts & Letters,Associate Professor,Non-tenure track,3-5 years,Social Sciences,Woman,Asian,5,5,2,0,0,0,0,0,0,0,0,0,0,5,5,50-59 hours,3,4,3,3,3,3,2,3,3.0,2.7,4,4,2,3,2025-11-03 11:00:00,Need more teaching assistants,
R0031,Engineering,Instructor/Lecturer,Non-tenure track,3-5 years,Business,Man,Asian,4,4,1,0,0,0,0,0,0,0,0,0,0,3,3,60-69 hours,4,3,4,2,5,2,5,3,3.0,3.0,4,4,2,1,2025-11-02 06:00:00,,
R0032,Arts & Letters,Research Professor,Non-tenure track,3-5 years,Business,Man,White,3,3,4,0,1,0,1,1,0,0,0,1,0,5,5,50-59 hours,3,4,3,4,3,3,3,5,3.0,3.0,3,4,4,4,2025-10-17 01:00:00,,
R0033,Arts & Letters,Professor,Non-tenure track,0-2 years,STEM,Man,Hispanic or Latino/a/x,4,4,2,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,2,2,1,5,3,1,3,4,4.0,3.0,3,3,1,2,2025-11-05 07:00:00,Great collegial atmosphere,Need more teaching assistants
R0034,Law,Assistant Professor,Non-tenure track,11-15 years,Arts & Performance,Man,Asian,5,5,1,0,0,0,0,0,0,0,0,0,0,4,3,60-69 hours,2,3,2,5,4,4,3,4,4.0,3.0,5,3,2,2,2025-10-24 02:00:00,Need better work-life balance policies,
R0035,Global Affairs,Associate Professor,Tenure-track,11-15 years,Social Sciences,Man,Asian,4,4,2,0,0,0,0,0,0,0,0,0,0,3,3,40-49 hours,5,4,3,3,2,3,4,3,3.0,4.0,3,4,4,4,2025-10-22 03:00:00,,More mentorship needed for junior faculty
R0036,Architecture,Research Professor,Tenured,11-15 years,Social Sciences,Man,Black or African American,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,60-69 hours,3,1,1,3,3,1,2,4,4.5,1.6,2,1,1,1,2025-10-27 08:00:00,Very satisfied overall,
R0037,Science,Instructor/Lecturer,Tenure-track,6-10 years,STEM,Non-binary,White,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,60-69 hours,2,3,4,1,4,2,2,2,0.5,1.4,2,1,1,2,2025-10-29 20:00:00,Need better work-life balance policies,Need better work-life balance policies
R0038,Arts & Letters,Instructor/Lecturer,Adjunct/Part-time,3-5 years,STEM,Woman,Asian,2,2,4,1,1,0,0,0,0,0,0,1,0,3,2,50-59 hours,3,3,5,5,3,1,4,3,,,1,2,1,1,2025-10-26 05:00:00,,Great collegial atmosphere
R0039,Business,Assistant Professor,Adjunct/Part-time,16-20 years,Humanities,Woman,White,4,5,1,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,1,3,3,3,4,2,2,2,,,3,1,1,1,2025-10-26 11:00:00,Very satisfied overall,
R0040,Science,Associate Professor,Tenure-track,6-10 years,Social Sciences,Man,White,4,5,3,0,0,0,0,0,0,0,0,0,0,3,3,40-49 hours,2,1,2,2,3,4,4,4,1.5,2.4,3,3,5,5,2025-10-21 21:00:00,,Too much administrative burden
R0041,Arts & Letters,Associate Professor,Non-tenure track,6-10 years,Social Sciences,Woman,White,2,2,5,1,1,0,0,0,0,0,0,0,1,4,4,70+ hours,2,1,1,4,4,1,4,4,5.0,3.7,4,2,2,1,2025-10-23 22:00:00,Need more teaching assistants,Need more teaching assistants
R0042,Engineering,Professor,Adjunct/Part-time,0-2 years,Humanities,Man,Multiple/Other,4,3,1,0,0,0,0,0,0,0,0,0,0,4,4,60-69 hours,3,4,4,2,2,1,3,2,,,1,3,4,5,2025-11-05 20:00:00,Need more teaching assistants,Too much administrative burden
R0043,Arts & Letters,Teaching Professor,Tenure-track,3-5 years,Arts & Performance,Woman,Black or African American,3,4,2,0,0,0,0,0,0,0,0,0,0,2,2,40-49 hours,1,3,3,2,5,1,2,2,3.0,1.7,1,1,2,3,2025-10-17 19:00:00,Excellent research support and facilities,
R0044,Law,Instructor/Lecturer,Tenured,6-10 years,STEM,Man,Asian,3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,60-69 hours,4,3,3,4,5,3,3,4,3.0,4.0,3,5,2,2,2025-11-04 05:00:00,Too much administrative burden,
R0045,Science,Research Professor,Adjunct/Part-time,6-10 years,Humanities,Woman,Asian,2,2,4,1,0,0,1,0,0,0,0,0,1,5,5,60-69 hours,2,3,3,1,3,3,3,2,,,3,1,2,2,2025-11-01 23:00:00,Need more teaching assistants,Great collegial atmosphere
R0046,Business,Research Professor,Tenure-track,6-10 years,STEM,Man,White,4,4,2,0,0,0,0,0,0,0,0,0,0,1,2,70+ hours,2,4,3,4,2,2,3,3,2.0,5.0,3,4,3,3,2025-10-22 05:00:00,Need more teaching assistants,Promotion criteria should be clearer
R0047,Science,Assistant Professor,Non-tenure track,6-10 years,Arts & Performance,Woman,Multiple/Other,2,1,4,1,0,0,1,0,0,1,0,0,1,2,2,40-49 hours,1,3,3,1,3,1,3,1,2.5,0.10000000000000003,2,3,4,4,2025-10-29 12:00:00,Great collegial atmosphere,
R0048,Engineering,Instructor/Lecturer,Tenured,11-15 years,Humanities,Woman,White,5,5,1,0,0,0,0,0,0,0,0,0,0,2,2,50-59 hours,3,2,2,1,3,2,5,2,4.0,4.7,4,3,4,4,2025-10-23 20:00:00,Salary not competitive with peer institutions,
