metric,mean_0_10,top2_box_pct,n_responses,detractor_pct,passive_pct,promoter_pct,nps_score
Overall_NPS,8.29,75.9,112,11.6,39.3,49.1,37.5
Morning_Keynote_NPS,7.44,56.2,112,29.5,28.6,42.0,12.5
Fireside_NPS,7.87,68.8,112,21.4,27.7,50.9,29.5
Afternoon_Keynote_NPS,8.25,72.3,112,17.0,30.4,52.7,35.7
Morning_Breakout_NPS,8.53,74.1,112,10.7,28.6,60.7,50.0
Afternoon_Breakout_NPS,8.21,75.9,112,17.9,26.8,55.4,37.5
Organization_Flow,8.12,40.2,112,,,,
Venue,9.38,78.6,112,,,,
Duration,7.9,35.7,112,,,,
Morning_Keynote_Engaging,6.92,0.0,112,,,,
Morning_Keynote_Time,6.27,0.0,112,,,,
Morning_Keynote_Relevant,6.9,0.0,112,,,,
Fireside_Engaging,7.01,0.0,112,,,,
Fireside_Time,6.99,0.0,112,,,,
Fireside_Relevant,6.99,0.0,112,,,,
Afternoon_Keynote_Engaging,7.23,0.0,112,,,,
Afternoon_Keynote_Time,6.96,0.0,112,,,,
Afternoon_Keynote_Relevant,6.54,0.0,112,,,,
Morning_Breakout_Engaging,7.37,0.0,112,,,,
Morning_Breakout_Time,6.5,0.0,112,,,,
Morning_Breakout_Relevant,7.25,0.0,112,,,,
Afternoon_Breakout_Engaging,7.14,0.0,112,,,,
Afternoon_Breakout_Time,6.45,0.0,112,,,,
Afternoon_Breakout_Relevant,7.03,0.0,112,,,,
