StartDate,EndDate,Q3_1,Q3_2,Q4,Q5,Q5_1
2024-01-17 10:49:12,2024-01-17 10:50:15,Agree,Agree,Everything especially the food! ,Nothing :) ,10
2024-02-05 12:47:08,2024-02-05 15:51:28,Tend to agree,Agree,I greatly appreciated the additional information about the organization of the division and it's place in the university.,"While we spent some time discussing upcoming events, it would be great to hear more about social events in the division to help make connections to others within the Research Division. ",10
2024-02-09 09:15:42,2024-02-09 09:19:15,Agree,Agree,I thought Claudia and Nancy were both very personable and made me feel welcome. It was also helpful to see the different parts of NDR with the visuals of the people and departments in the slideshow.,"There is a lot of information that was communicated - which is important. I wonder if the onboarding process could be more interactive. As someone who was coming to NDR from another department on campus, some of the information was not relevant to me. However, I enjoyed getting to meet others new to NDR in this process.",7
2024-03-04 13:20:40,2024-03-04 13:40:58,Agree,Agree,"I enjoyed that it was focused on the department and individuals that I will be interacting with as part of my role. It was great to hear about NDR goals, FY report, and team building events/activities to look forward to throughout the year.","The presentation was cohesive and included all relevant topics for onboarding. I would maybe add a map of the campus for those that are not familiar,  as well as more images of sites from campus. ",10
2024-03-19 11:21:24,2024-03-19 11:24:24,Tend to agree,Tend to agree,Good overview. I would like to have a walkthrough of tools and software used by the teams and a list of key things to bookmark would be helpful too! Thank you for the onboarding session.,"Mentioned in previous note: walkthrough of tools and software used by the department (and where to find training for these), list of key places to bookmark.",10
2024-03-19 14:46:03,2024-03-19 14:47:56,Agree,Agree,I liked seeing the research lifecycle map and understanding where I fit in.,"In addition to the information about goals and strategic picture, it could be useful to have some day-to-day info incorporated, like where to get locker, keys, etc.",10
2024-05-09 13:14:17,2024-05-09 13:15:23,Tend to agree,Tend to agree,It was very personable,It's a good process,5
2024-05-10 09:17:39,2024-05-10 09:20:57,Tend to agree,Agree,It was helpful to get a more clear picture of how NDR is organized.,I don't have any suggestions at this time.,8
2024-05-21 11:24:59,2024-05-21 11:27:30,Agree,Agree,Learning about the employee resource groups,"Have even temp employee go through it, so they can gain a better understanding of NDR",9
2024-06-17 17:59:26,2024-06-17 18:02:43,Agree,Agree,"Showing the different NDR reporting units, and the definition of centers, institutes, core facilities, and SRI. ",N/A,9
2024-07-03 16:27:39,2024-07-03 16:34:22,Agree,Agree,It was great to see a the research lifestyle and the leadership team. Putting a picture to name certainly helps. Also campus resources was a great help. ,"Performance/Learning/Development section could be refined. Is this area that could be addressed in a separate session, maybe?",8
2024-07-31 13:33:31,2024-07-31 13:34:42,Agree,Agree,"I appreciated the charts of NDR senior faculty and their role relative to the research process. It was very helpful to be able to put a name to a face and title.
",Nope!,10
2024-08-14 07:22:51,2024-08-14 07:26:51,Tend to agree,Agree,"Appreciated the breadth of topics covered without spending too much time talking about exact PTO procedures, benefit enrollment, etc...",,
2024-08-27 12:19:15,2024-08-27 12:21:41,Tend to agree,Agree,Nancy was very welcoming and enthusiastic about NDR and Notre Dame.,NA,9
2024-09-05 18:10:05,2024-09-05 18:11:48,Agree,Agree,It was very personal. I felt like a person instead of just a worker.  Nancy was a joy to talk with!,I can't think of anything at this time.  It was flawless. Very well done!,10
2024-09-19 16:44:14,2024-09-19 16:45:15,Tend to agree,Tend to agree,Info about what to expect with benefits sign up,1,5
2024-10-31 07:08:22,2024-10-31 07:10:29,Agree,Agree,Meeting my new colleagues.,I don't have any suggestions. I thought the welcome was timely and helpful. And the session itself was informative - I especially enjoyed the trivia! Great job!,10
2024-10-31 07:14:59,2024-10-31 07:17:41,Agree,Agree,"The presentation was informative and helpful to better know the people and the campus of Notre Dame. We were able to ask questions, the entire team has been very helpful and responsive.",N/A,10
2024-10-31 07:51:33,2024-10-31 07:53:49,Agree,Agree,The personal stories that were shared and the ability to meet others who are starting at the same time as you.,You had mention campus tours-  perhaps a tour piggybacked onto the luncheon for those that are local would be good.,10
2024-11-04 12:22:19,2024-11-04 12:31:22,Agree,Agree,I appreciated the one-on-one meeting with Nancy.  I felt comfortable and could ask questions.,None.,10
2024-11-11 06:15:28,2024-11-11 06:20:59,Agree,Agree,"Reviewing NDR's key teams and their roles.
","It was great. I don't have anything to suggest.
",10
2024-11-15 13:27:04,2024-11-15 13:30:07,Agree,Agree,"Friendly staff, and open to further questions in  the future.",More detailed discussion of benefits.,10
2024-12-03 14:06:10,2024-12-03 14:17:33,Neither,Agree,"Relatively informal, and liked the trivia questions!",Perhaps to point out exactly where the new employee fits into the org chart presented.  ,10
2024-12-10 07:34:20,2024-12-10 07:36:14,Agree,Agree,I liked the detailed org slide including all the facilities and initiatives. Very helpful!,N/A,10
