Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q5,Q6,Q7,Q8,Q9,Finished,Progress
NDR,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,8.0,Accountability partners to help implement skills,,development plans for individuals that you supervise,More time to work on the skills covered in the sessions,No,True,100
NDR,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5.0,,,,,,True,100
NDR,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,8.0,"I really think the powerful questions Sarah shared were most useful. Drawing out staff, getting them to share what they think, etc. is so helpful and these were a practical tool that could be applied right away.","I'd like to revisit intrinsic motivation for staff again. I think we have that, generally, in our teams, but really getting them to feel empowered to come up with big ideas, and then execute, those would be worth exploring again.",Per above,"I think the one on prioritization was a little too simplistic for the challenges we face. I very much like Sarah as a facilitator but this one, to me, needed a deeper understanding of our workloads, what we're juggling, etc. I don't think it's as simple as blocking off time, etc.","Thank you for organizing this. I think it's really helpful that it's on the calendar so far out - that allows us to plan ahead and ensure we are there. I also liked having it partnered with MCOB, so we're not just talking to ourselves, hearing the same problems, etc.",True,100
NDR,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,7.0,I have been planning further ahead for 1:1 meetings and they have become much more impactful,,,,,True,100
NDR,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,9.0,,Senior leadership should be engaged.,"Be thoughtful, be aware, be consistent.
It is not about ""Notre Dame nice"" it is about treating others the way you wish to be treated.",Senior leadership should be engaged. ,,True,100
MCoB,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Did not attend,Neither agree nor disagree,7.0,"Using the resources to apply to how I approach coaching conversations, 1:1s, and leadership development and growth.",How to continue to use these resources and dedicate time to growth.,,"The lunch hour peer to peer sessions felt rushed and hard to get value out of when trying to eat, jump to break out rooms and get a high value.  I liked hearing from peers but did not leave with the same value as the 1/2 day sessions.",,True,100
MCoB,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8.0,,,,,,True,100
NDR,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,9.0,,Teamwork sessions for the staff.,,"Make the sessions not too close to on another,  There were two that were in the same afternoon. ",,True,100
NDR,,,,,,,,,,,,,,,,,False,0
MCoB,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Did not attend,Agree,Agree,9.0,"I read the book Radical Candor as a result of the training to help me better understand the concepts as this is an important challenge in my leadership of my current team.
I've also started using tasks on google calendar to better manage my time/to do list.",,,,,True,100
MCoB,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Did not attend,Agree,Agree,Neither agree nor disagree,5.0,Emotional Intelligence is always a good reminder and practice. ,"I think what would be most helpful is to have more coaching time on current issues we are facing. It is easy to talk about the importance of making sure we are taking care of ourselves and that in order for us to be strategic, we need to make sure we are not in the weeds but the reality of doing that is very low. ",,Half day is a big commitment when there are pre-reads/homework. ,"I found it difficult to be excited for this training, knowing that NDHR is doing their own pilot of this series. It seemed as though each session took place during the most busiest times that made it difficult for me to come prepared and focused. I understand that making professional development a requirement is sometimes the only way to get managers to attend a training session, however, this was a much bigger requirement of time for all people leaders in the College. ",True,100
MCoB,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,9.0,I plan to use the Radical Candor Prep Sheet to help me focus on the IOUS when preparing for my difficult conversations.,,,,,True,100
MCoB,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,8.0,,,,"For me, it would be helpful to see more case studies or examples of how people have successfully applied some of the principles in practice. Not necessarily true stories, but behaviors and actions that would be good to mirror as a roadmap. In other trainings, I found role playing with other trainees helps to put you in a 'real life' situation where you are forced to apply what you're learning in real time.",,True,100
MCoB,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Did not attend,Did not attend,Did not attend,Did not attend,9.0,The EQ session really helped me to recognize areas for improvement (I keep a list at my desk!),Ongoing tips/tricks I always find valuable to keep connected to the training,"content provided was broad, managers now have the opportunity to deep dive where needed - different employees create different opportunities","no immediate feedback, I thought the timing, flexibility and instructors were thoughtful - administrative efforts to encourage engagement was noticed!",,True,100
MCoB,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Disagree,Did not attend,Did not attend,Did not attend,5.0,I am working to be more proactive and explicit in my communication with my team,see next question,How to lead others through their emotions,"The session on candor was not helpful. The session focused on why candor is important, which the audience already agreed with, whereas we needed support practicing candor. ",,True,100
NDR,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Did not attend,Strongly agree,Strongly agree,Did not attend,Did not attend,10.0,Going one step further with my prioritized action list by scheduling those items on my calendar.,"It would be nice to hear from University leadership in these sessions. For example, they could talk about their experience or tips for strategy and planning, leadership, feedback. etc.",,,,True,100
MCoB,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Did not attend,Strongly agree,Neither agree nor disagree,Agree,6.0,"So many! I feel that I have more EQ awareness, better scheduling, and am willing to take on tough conversations with a better framework.",Intentional time to keep these skills sharp.,,,,True,100
NDR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Did not attend,Agree,9.0,"For me, adding more conversations (both difficult and easy) is my main takeaway from the series.  It was very helpful in that regard.",,,More small group work without making the sessions longer.  ,,True,100
NDR,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Did not attend,Agree,Did not attend,Did not attend,8.0,,,,,,False,50
NDR,,,,,,,,,,,,,,,,,False,20
NDR,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Did not attend,Did not attend,Agree,Agree,7.0,,,,,,False,50
NDR,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5.0,I try to look for real time examples to be candid about performance. I often practice pausing before responding.,"Training for non-people leaders (my team) on the culture of candor, and shifting to a mindset that feedback is constructive and shouldn't be viewed as either positive or negative, as well as how to handle situations with power imbalance (perceived or real).","n/a
",Strategies for team engagement in a remote work world - holistic approach of remote strategies coupled with truly effective in-person work during on-campus retreats.,don't have time to elaborate,True,100
NDR,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,10.0,"timely feedback, candor conversations, eat my frogs as soon as possible",candor conversations,effective team management,mandatory for all leaders to ensure consistency in implementation,,True,100
NDR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,8.0,,,,,,False,50
NDR,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Did not attend,Agree,Did not attend,Strongly agree,9.0,,,,,,True,100
MCoB,Agree,Agree,Neither agree nor disagree,Agree,Did not attend,Neither agree nor disagree,Did not attend,Did not attend,Disagree,Did not attend,8.0,"The portions of the candor workshop helped me prepare for a meeting where I needed to provide feedback to a staff member who believed their approach was collaborative when, in fact, it was the opposite.","Expanded sessions in influencing the team, partners, and superiors.",,"Reduce time blocks to 2 hours, 2x per week, or provide a better understanding of the mod week so more student-facing teams can attend.","I like how the pods were set up so that intergration across teams and departments could happen. Adding a few minutes to each session to ask tables to exchange contact information, even if only to build their networks, might be a nice touch.",True,100
MCoB,,,,,,,,,,,,,,,,,False,20
NDR,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,7.0,Focusing more on self care and leadership,strategy,goal setting,none,thank you for organizing!,True,100
NDR,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,9.0,Incorporate the Culture of Candor strategies in 1on1s with team members,a program for leader to support other leaders,"Yes, how to approach that dynamic",break out leaders that lead other leaders vs leaders that lead team members in certain scenarios,,True,100
MCoB,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,7.0,,,,,,True,100
NDR,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Did not attend,Strongly agree,Strongly agree,9.0,I completed the time study activity from the self-prioritization session and have used the materials from candid conversations to prepare for employee converstaions,I need to improve my delegation skills and to think more strategically about my team's work.,,perhaps separate sessions for in person and online. Technology capabilities and equity of participation seemed uneven for the different groups.,,True,100
NDR,Agree,Agree,Agree,Agree,Did not attend,Strongly agree,Did not attend,Did not attend,Did not attend,Did not attend,10.0,,,,,,True,100
MCoB,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Did not attend,Did not attend,Strongly agree,9.0,EQI,Processes,,,,True,100
NDR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,9.0,,,,,,True,100
NDR,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,9.0,,,,"It felt like a lot of information in a short period of time.  I would like to have the long in-person session where we receive and review the handouts, and then an online session to have some more time to practice those tools.  A repository or google drive that contains all handouts we received during the training would also be helpful.  Paper copies are not always in hand or may get lost.  ",,True,100
NDR,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,6.0,,How to have difficult conversations with staff members,,,,True,100
NDR,Agree,Agree,Neither agree nor disagree,Agree,Did not attend,Strongly agree,Did not attend,Did not attend,Strongly agree,Did not attend,10.0,I took Culture of Candor with Kelly McNally and it was amazing. The practice role playing was great. I realize that this was before the NDR-MCOB partnership but just wanted to mention it.,"Perhaps understanding different processes and functions that other parts of the university are concerned with -- to broaden our perspectives beyond NDR. For example, what is an average day for someone in enrollment or athletics? I see this as more of a speaker series than a skill development set of sessions.",,,Thank you for hosting it!,True,100
